	claim	label
66	Ramad Chatman was given a jail sentence for a crime of which he was acquitted.	false
67	The phrase 'I took an arrow in the knee' is old Norse slang for getting married.	false
68	A video shows a real animal called the shoebill stork.	true
69	Rust causes tetanus.	false
70	Two black men, Alize Ramon Smith and Jarron Keonte Moreland of Moore, Oklahoma, were lynched by four white people in April 2018, a crime that was largely ignored by the media.	false
71	A photograph shows a purple horned winged lizard.	false
72	An arms dealer advertised a weapon for its ability to fit into a small backpack.	true
73	"A sign in Calvert County, Maryland was erected in May 2018, warning ""liberals"" to arm themselves in the event of attempts to impeach President Donald Trump."	true
74	Nelson Mandela praised President Trump ahead of a South African visit by Barack Obama.	false
75	Michelle Obama, as First Lady, never placed her hand on her heart during the national anthem.	false
76	Neutrogena Makeup Remover Cleansing Towelettes are causing a number of severe allergic reactions.	false
77	President Trump has scrapped plans for constructing a wall along the U.S.-Mexico border in favor of a proposal for a dome.	false
78	"""Love bugs"" are the result of a genetic experiment gone wrong at the University of Florida."	false
79	Hillary Clinton died suddenly of a previously unknown medical condition.	false
80	Cargo lost in the Titanic's sinking led to the creation of the Cinco de Mayo observance.	false
81	Images show a number of mutant sharks with two heads.	false
82	"In May 2018, President Donald Trump established a ""religious office"" to give religious groups a ""voice in government."""	true
83	The browser extension Honey provides coupons for online shoppers and enables consumers to accrue purchase rebates.	true
84	President Trump intends to nominate Dr. Oz to the Presidential Council on Sport, Fitness and Nutrition.	true
85	A video shows a vampire squid turning itself inside out, revealing sharp barbs on the underside of its hood.	true
86	Abraham Lincoln was an accomplished wrestler who was inducted into the Wrestling Hall of Fame with a near-perfect record.	false
87	A set of images show a congenital anomaly that resulted in an a hand with eight fingers.	false
88	An exorcism in 1988 saved a house from destruction during Hurricane Ike in 2008.	false
89	U.S. President Donald Trump has been awarded the 2018 Nobel Peace Prize.	false
90	"Netflix announced in April 2018 that they are creating a new series based on the video game ""God of War."""	false
91	"Karl Rove wrote an item known as ""Tactics for Effective Conservative Blogging."""	false
92	Hillary Clinton was killed while on a hunting expedition with 'some of Washington’s elite.'	false
93	"Actor Samuel L. Jackson tweeted a lament about overpaid ""modern mumble"" rap artists and underpaid teachers."	false
94	An optical illusion allows a 3D arrow to appear as if it is always pointing in the same direction (with its mirror reflection showing the opposite direction), even when it is rotated 180 degrees.	true
95	A scientific study shows the death of Alfie Evans was caused by aluminum additives in vaccines.	false
96	"People who smell the perfume ""Lovely"" are killed either instantly or within three days."	false
97	"A sign at the United States border and sponsored by the Democratic party informs travelers from Mexico that there's ""lots of free stuff ahead."""	false
98	A meme purporting to include an image of a Honduran asylum seeker and “caravan” member named Susana González shows the first woman to be granted asylum in the United States in that group.	false
99	"Congresswoman turned pundit Michele Bachmann said ""Kanye is right ... slavery was a choice."""	false
100	Hillary Clinton was killed when she was hit by an out-of-control truck.	false
101	"Republican candidate for U.S. Senate in California, Patrick Little, has expressed anti-semitic views, including calling for a United States ""free from Jews."""	true
102	Liberals at the University of Texas called for masculinity to be designated a mental illness	false
103	A Kentucky business owner found out he had been paying the electric bills of an Ohio River bridge, in addition to his own, for five months.	true
104	Over 500 members of a caravan of asylum seekers traveling through Mexico to the U.S. border at San Diego were arrested in possession of suicide belts.	false
105	Paul Ryan nominated televangelist Joel Osteen as the new House Chaplain.	false
106	Hillary Clinton was accidentally killed during the filming of a documentary about her.	false
107	"The National Rifle Association banned attendees from carrying firearms into their ""2018 Leadership Forum"" in Dallas, Texas."	false
108	A photograph shows a hearse being towed away in the middle of a funeral procession.	false
109	Israel fired a tactical nuclear weapon at an Iranian base in Syria in late April 2018.	false
110	"A reporter who was found dead mailed her lawyer a recording “to be played if anything happens to her."""	false
111	"A second Broward County sheriff’s deputy died suspiciously after ""exposing"" the mass school shooting in Parkland, Florida."	false
112	Oklahoma passed legislation making it legal for agencies to refuse adoptions involving LGBT parents.	false
113	"Mike Huckabee tweeted that the White House Correspondents Dinner ""celebrated bullying"" after inviting people to watch his own show unless they lacked a ""sense of humor."""	true
114	Parents in California are not allowed to pull their children out of sexual education classes.	false
115	On Facebook, White House Press Secretary Sarah Huckabee Sanders proudly embraced an unflattering comparison to Aunt Lydia from the Handmaid's Tale.	false
116	In April 2018, Barack Obama and George W. Bush criticized rapper Kanye West on Twitter.	false
117	Planned Parenthood issued a statement in defense of Bill Cosby after the comedian was convicted of felony sexual assault.	false
118	Hillary Clinton was killed during an FBI raid on the Clintons' New York home.	false
119	A photograph shows a remarkable sunset over Moscow.	false
120	Every cell in the human body is replaced every seven years.	false
121	Actress Allison Mack confessed that she sold children to the Rothschilds and Clintons.	false
122	A photograph captures a man washing aborted fetuses in Brazil.	false
123	A newspaper article from 2015 reported that comedian Michelle Wolf had been arrested for bestiality	false
124	Comedy Central fired Michelle Wolf and issued an apology after the comedian's appearance at the 2018 White House Correspondents Dinner.	false
125	Hulu cancelled plans to stream comedian Michelle Wolf’s standup special after her appearance at the 2018 White House Correspondents Dinner.	false
126	The Westmoreland News ran a KKK ad on the front page of their newspaper in April 2018.	false
127	Hillary Clinton used a hammer to smash her mobile phone during an FBI investigation.	false
128	Rep. Mike Kennedy claimed that access to hospitals kills at least a million Americans per year.	false
129	A man received a $153,000 hospital bill after a bite he sustained from a rattlesnake that he was attempting to take a selfie with.	true
130	"Merriam-Webster changed its dictionary definition of ""fascism"" in 1987, to censor links between its new corporate owner and fascists."	false
131	A video shows a group of camels swimming through the sea.	true
132	The body of a notorious pedophile was found dumped on the doorstep of the British Parliament building.	false
133	We fact-check a popular meme outlining the purported benefits of living in Sweden.	false
134	Photographs show a velvet cow killer ant.	true
135	A Russian man locked his head in a cage in an attempt to stop smoking.	true
136	United States citizens have the right to resist unlawful arrest.	false
137	"A ""new"" study has demonstrated that marijuana leads to a ""complete remission"" of Crohn's disease."	false
138	"President Donald Trump was using an anti-Semitic slur when he called NBC host Chuck Todd ""sleepy eyes."""	false
139	Maine's House Democrats voted to allow female genital mutilation.	false
140	A meme presents accurately describes Japan's healthcare and health insurance system.	false
141	"President Donald Trump was labeled as either the best or the worst president ever on the cover of ""Time"" magazine."	false
142	UK prime minister Theresa May has reminded parents that their children are owned by the state.	false
143	Anthropologist Jane Goodall likened Donald Trump's actions to primates engaging in dominance behavior.	false
144	A viral video shows a woman peeling a layer of plastic off romaine lettuce leaves.	false
145	Swedish-born producer DJ Avicii died under suspicious circumstances while he was trying to use music videos to expose a pedophile ring	false
146	A video shows a man riding a motorcycle over Lake Como.	true
147	A rapist may sue a victim for custody of a child in 31 states, but in no states may victims seek child support from rapists.	false
148	We fact-check a series of claims about gun control and gun violence in the United States.	false
149	A video shows an ice fisherman getting eaten by an orca.	false
150	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true
151	"Michael Cohen, personal attorney for President Donald Trump, advertised his services as ""The Fixer"" in New York City subway ads in April 2018."	false
152	Planned Parenthood is spending $30 million in taxpayer subsidies to influence the outcome of the 2018 midterm elections.	false
153	A photograph shows a giant manta ray, or devil fish, that was caught in 1933.	true
154	A npedophile was found dead in his prison cell after his testicles were removed and his injuries went untreated.	false
155	The royal family's official town crier announced the birth of Prince William and the Duchess of Cambridge's third child.	false
156	YETI told the NRA the brand no longer wishes to do business with the organization, demonstrating that YETI does not support the Second Amendment.	false
157	One of Vice President Mike Pence's older brothers, Ed Pence, is an executive at Cummins Inc., a company that manufactures engines for the Russian military and has also used lobbying firms connected with Paul Manafort, indicating that Mike Pence may have compromising ties to Russia.	false
158	A photograph shows a mysterious 7-foot creature that has been terrorizing a village in Argentina.	false
159	Broward County Sheriff's Deputy Jason Fitzsimons died suspiciously after posting a photograph criticizing Parkland shooting survivor David Hogg.	false
160	"President Donald Trump was ""ordered"" by the Bush family not to attend former first lady Barbara Bush's funeral."	false
161	A video report from the BBC stated that a nuclear war had started between NATO and Russia.	false
162	Assembly Bill 2943 would prohibit the sale of Bibles in California.	false
163	"A contestant on ""Who Wants to Be a Millionaire"" needed audience assistance in defining ""horsepower,"" as opposed to ""llamathrust"" and ""zebraforce."""	true
164	Kawhi Leonard said that he refused to play for the San Antonio Spurs because of coach Gregg Popovich's anti-Trump comments.	false
165	"A series of images ""prove"" that the White Helmets ""staged"" a chemical attack in Syria."	false
166	Former first daughter Malia Obama founded a website intended to discredit President Donald Trump.	false
167	Michigan lawmakers proposed a bill to mark immigrants' licenses with a yellow star.	false
168	Hillary Clinton used taxpayer dollars to found a website intended to discredit President Donald Trump.	false
169	Samuel Beckett used to drive a teenaged André the Giant to school when they lived in a small French village.	false
170	Guido Menzio, an Italian economist, was removed from a plane because a fellow passenger thought the math problems he was working on looked suspicious.	true
171	"Starbucks offered coupons exclusively to customers of ""African-American heritage."""	false
172	In April 2018, Suge Knight was stabbed to death in prison.	false
173	Mark Zuckerberg announced in a video that he was shutting down Facebook.	false
174	Dead Kennedys frontman Jello Biafra was sued by his bandmates because he didn’t want one of their songs used in a Levi’s commercial.	false
175	A popular teen YouTuber planning a “live on-camera abortion” to raise Bitcoin donations for Planned Parenthood.	false
176	"A WhatsApp video known as ""Martinelli"" spreads malware that irreparably hacks your cell phone."	false
177	A photograph shows a statue guarding the Tomb of the Unknown Soldier that was knocked over by vandals.	false
178	Barbara Bush, who served as both First Lady and Second Lady of the United States and whose children included a former U.S. president and a governor, died at her Houston, Texas home on 17 April 2018, according to a family spokesperson. She was 92.	false
179	"Bill Nye tweeted to ask if a person was ""made of copper, nitrogen, terbium, and silver."""	false
180	"An ""extreme snuff film"" in which Hillary Clinton and aide Huma Abedin are seen raping and mutilating a prepubescent girl is circulating on the dark web under the code name ""Frazzledrip."""	false
181	A video shows a Vermont State Trooper's being attacked by a group of children on a school bus.	false
182	"In a leaked e-mail, Hillary Clinton said ""we must destroy Syria for Israel."""	false
183	Donald Trump leveled the same criticisms against President Barack Obama over Syrian strikes that were later used against him.	true
184	"Albert Einstein said ""World War IV would be fought with sticks and stones."""	false
185	"Authorities have deleted court records and online references to former United States Attorney Lisa Barsoomian, as part of a ""deep state"" conspiracy."	false
186	The racist Ku Klux Klan is tax-exempt by the Internal Revenue Service as a religious organization.	false
187	"Article 54 of Obamacare stipulates 30 percent of seniors' social security payments will be ""diverted"" to pay for insurance for undocumented immigrants as of 1 May 2018."	false
188	Vice President Mike Pence was in the White House Situation Room while the U.S. carried out a strike against Syria.	false
189	Information shared with other agencies by the U.S. Census Bureau helped the government target Japanese Americans for relocation and internment during World War II.	true
190	Anna Mae Dickinson survived a variety of infamous tragedies, including the sinking of the Titanic, the Hindenburg explosion, and the 9/11 terrorist attacks.	false
191	A video shows two black men being arrested while waiting for a friend at a Starbucks.	true
192	A viral photograph shows an armed student and teacher scaring off a would-be mass shooter at a Delaware high school in 1973.	false
193	A new study published in the Lancet has officially declared that fluoride is a neurotoxin.	false
194	Floyd Mayweather and Conor McGregor have agreed to fight a rematch, to be fought under modified mixed martial arts rules.	false
195	A photograph shows serial killer Jeffrey Dahmer standing next to an ice bong.	false
196	"Fortnite Games announced on Twitter that it is ending ""Battle Royale"" due to a copyright infringement lawsuit from a competitor."	false
197	California governor Jerry Brown will release 10,000 convicted sex offenders following a judge's ruling.	false
198	"Tilapia is a boneless, skinless, ""mutant"" fish that is full of cancer-causing dioxins, is worse to eat than bacon or hamburger, and is killing our families."	false
199	In November 2017, Pope Francis called for the right to marry for Catholic priests.	false
200	Parent's Choice diapers are causing small children to suffer chemical burns.	false
201	A photograph shows a dead sperm whale that washed ashore after swallowing 64 pounds of plastic debris and other trash.	false
202	The World Health Organization has declared that medical marijuana has no health risks.	false
203	President Trump exempted Ivanka Trump's clothing line from tariffs on Chinese imports.	false
204	In 1999, Donald Trump lobbied against mandatory sprinklers for apartment buildings in New York, including his own Trump Tower.	true
205	"Facebook is removing the share button from ""pro-Trump posts."""	false
206	An image shows a group of liberals in the U.S. protesting Donald Trump.	false
207	A Russian woman was embalmed alive due to the intravenous administration of formalin.	false
208	A video shows a stone capable of dissolving iron.	false
209	Principal Muhammad Al-Salad implemented a Halal menu at an elementary school in West Virginia.	false
210	"A CDC doctor who swarned the public that flu shots had caused a ""deadly flu epidemic"" was found dead:"	false
211	Jamie Allman tweeted about sodomizing Parkland shooting survivor and activist David Hogg with a hot poker.	true
212	A photograph shows two daredevils playing tennis on the wings of an airplane.	true
213	Voice analysis of Buzz Aldrin and other former astronauts revealed the existence of extraterrestrials.	false
214	"People can get a free Walmart gift card by texting the word ""WALMART"" to 83361."	false
215	A video shows a sunbather catching a snake moments before it bites her.	false
216	Pope Francis cancelled the Bible and proposed the creation of a new holy book.	false
217	A California bill would unduly penalize police if they shot people carrying pellet guns or malfunctioning firearms.	false
218	The U.S. has several million more registered voters than eligible, voting-age adults.	false
219	"Joy Behar of ""The View"" sent a crass tweet about a fatal fire in Trump Tower."	false
220	A Muslim nurse practitioner decapitated her 7-year-old son's head because of her religion.	false
221	Former first daughter Malia Obama said white people will be 'blended out' of the population by the time she turns 30.	false
222	The United States Department of Homeland Security is planning to compile a database of journalists and bloggers.	true
223	Marine Corps Capt. Jim Lowe was told he can't fly both an American flag and Marine Corps colors outside his home.	false
224	Arnold Schwarzenegger slept in a sleeping bag outside a hotel he had once opened, because staff refused to give him a free room.	false
225	A 19-year-old college student in Kenya purposefully infected 324 men with human immunodeficiency virus in an act of revenge.	false
226	A photograph shows a young boy with a rare disease after his classmates refused to wish him a happy birthday.	false
227	"President Donald Trump insulted community colleges in a tweet, calling them ""13th grade"" and for ""dummys"" [sic]."	false
228	"Facebook users are entitled to $17,500 each as compensation over a ""data breach"" involving Cambridge Analytica."	false
229	An ad for the Ku Klux Klan found in a 2018 newspaper praises President Donald Trump.	false
230	Officials in the village of Deerfield, Illinois passed an ordinance banning assault weapons.	true
231	The Environmental Protection Agency will ban manmade snow after dihydrogen monoxide was found.	false
232	"William Shakespeare wrote that he ""always felt happy"" because he didn't ""expect anything from anyone."""	false
233	Amazon's use of the USPS for package delivery services has resulted in a severe financial loss to the Postal Service.	false
234	Whistleblower Christopher Wylie's Facebook account was suspended after he came forward with allegations that Cambridge Analytica improperly acquired users' profile data.	true
235	Actor Channing Tatum and dancer and actor Jenna Dewan announced their separation in April 2018.	true
236	A video shows a group of children frightened by President Donald Trump.	false
237	Singer Toni Braxton has passed away at age 50 of unknown causes.	false
238	Disney is opening a new resort and park in the Toronto Islands.	false
239	"The permit for the ""March for Our Lives"" rally was submitted several months before the Valentine's Day school shooting."	false
240	There is a section of every Facebook user profile that attempts to list them by political category.	true
241	A notorious pedophile was killed by a mother who blew his head off with a shotgun when he tried to rape her 12-year-old child.	false
242	"In April 2018, Daniel Radcliffe announced that he would reprise his role as Harry Potter in a new movie called ""Harry Potter and the Cursed Child."""	false
243	David Hogg said that generations that came before his don't know what it's like to get shot at by AR-15s.	false
244	A trail cam in Alabama snapped a photograph of an unknown creature's horrifying feet in March 2018.	false
245	The latest social media craze entails teens making videos of themselves snorting condoms into their nostrils and pulling them out through their mouths.	false
246	Al Sharpton's brother has been arrested for murder after participating in a March for Our Lives rally in Alabama.	true
247	Dialing a Colorado Springs-area phone number allows you to listen to one of four Hall & Oates songs.	true
248	The Swedish parliament rejected seven proposals in May 2017 establishing a mandatory vaccination program, enacting a ban on the practice.	false
249	The Trump administration has unveiled plans to construct a monument hailing the end of the War on Christmas.	false
250	A photograph shows a short-tailed weasel.	false
251	"A photograph shows a protest sign reading ""stop killing aligators to make Gatoraid"" [sic]."	false
252	In March 2018, Pope Francis denied the existence of Hell.	false
253	There is a point in the middle of the Pacific Ocean so far from land that it’s likely the closest humans to it are aboard the International Space Station.	true
254	Roseanne Barr posed as Hitler for an issue of satirical Jewish magazine 'Heeb.'	true
255	"Health officials have seen a surge in the number of people using ""bug spray"" to get high."	false
256	Corey Feldman was stabbed by assailants angered by his claims that he was victim of pedophilia.	false
257	The National Rifle Association was formed for the express purpose of driving out the Ku Klux Klan and helping freed slaves defend themselves against racist attacks.	false
258	A viral item gives a genuine glimpse of the aurora borealis (or aurora australis) from far above the planet.	false
259	Indiana Gov. Eric Holcomb passed a law that will lead to jail time for women who fail to disclose abortions.	false
260	Parkland mass shooting survivor Emma González admitted to bullying a former student who later killed seventeen people.	false
261	Russia built a monument to memorialize the genocide of indigenous peoples on the American continent outside the United States Embassy in Russia.	false
262	"David Hogg gave a Nazi salute at the end of his ""March for Our Lives"" speech."	false
263	Planned Parenthood published a tweet opining that there should be a Disney princess who had an abortion.	true
264	"Emma González was photographed attacking a truck belonging to a ""Second Amendment supporter"" during a March for Our Lives event in March 2018."	false
265	David Hogg stated that he believes that the enforced use of clear backpacks in school constitutes a violation of students' First Amendment rights, but he favors the abolition of the Second Amendment.	false
266	A scuba diver was hospitalized due to an allergic reaction after his penis got stuck in a giant clam.	false
267	Marjory Stoneman Douglas student David Hogg was caught lying about being on campus during a February 2018 school shooting when he told CBS that he had to get on his bicycle and ride to school.	false
268	"The suspect in the fatal Austin bombings of March 2018 was part of a group calling itself ""Righteous Invasion of Truth."""	false
269	"Organizers working for billionaire George Soros ran Craigslist ads offering $300 each to individuals participating in the 24 March 2018 ""March for Our Lives"" protests."	false
270	Marjory Stoneman Douglas High School shooting survivor David Hogg went to high school in California, not Florida, and is an actor.	false
271	"Actor Jim Carrey said that the United States is ""morally upside down."""	false
272	A video shows President Donald Trump slapping the mayor of Mexico City.	false
273	Rep. Mark Amodei reported high-school student Noah Christiansen to his school for cursing during a phone call concerning gun safety legislation.	false
274	Emma González wore a Cuban flag patch on her jacket while speaking at the March for Our Lives rally in March 2018.	true
275	Emma González, a survivor of the Parkland school shooting, was filmed ripping up a copy of the U.S. Constitution.	false
276	President Richard Nixon hid a time capsule in the White House containing evidence of alien life and human contact with extraterrestrials.	false
277	A sequel to the movie 'Napoleon Dynamite' is in the works.	false
278	A gas station explosion caught on camera was caused by children using a mobile phone in the backseat of a car.	false
279	A new law in Florida legalized recreational use of marijuana.	false
280	Barack Obama's 2008 and 2012 presidential campaigns used the same tactics and techniques for which Cambridge Analytica and the Trump campaign criticized in 2018.	false
281	"In March 2018, the National Aeronautics and Space Administration ""predicted"" a major earthquake for Delhi, India, several weeks in advance."	false
282	The Joe's Crab Shack restaurant chain was criticized after a picture of a man being hanged was discovered on its table decor.	true
283	"You can determine whether your Facebook account is secure by typing ""BFF"" to see if it turns green."	false
284	A photograph shows a camel that lost half its body after surviving a landmine explosion.	false
285	People have begun licking toilets as a form of protest against United States President Donald Trump.	false
286	A photograph shows President Donald Trump with his wife Melania Trump and his alleged mistress Stormy Daniels.	false
287	In February and March 2018, hundreds of Canadian doctors signed a petition asking for the cancellation of pay deals from which they would personally benefit.	true
288	Law enforcement officials alerted the public to check the tops of commercially sold bottles of water for tampering because someone is injecting poison into them.	false
289	A video shows a group of Muslim immigrants attacking a Catholic church during mass.	false
290	The Trump administration appointed Walter Palmer, famed for killing Cecil the Lion in 2015, to a newly-formed wildlife conservation council.	false
291	President Obama congratulated Vladimir Putin for Russia's election results in 2012, a diplomatic move for which President Trump was criticized in 2018.	true
292	Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.	true
293	Police in Wilmington, Delaware shot and killed a man who was in a wheelchair at the time of the encounter.	true
294	A zero value banknote was released in honor of Karl Marx's 200th birthday.	true
295	Abandoning the Common Core set of standards for English and mathematics caused a Florida charter school's test results to go from mediocre to outstanding.	false
296	Charles Krathammer wrote an op-ed which argues that U.S. President Donald Trump is not a Republican or a Democrat, but a pragmatist.	false
297	"""Jimmy Coyne's grandson"" was assaulted for refusing to take part in March 2018 walkouts to protest lawmaker inaction over school shootings."	false
298	A black box recording has surfaced featuring an eerie message that suggests the disappearance of Malaysia Flight MH370 involved extraterrestrials.	false
299	CIA Deputy Director Gina Haspel has a warrant for her arrest in Germany.	false
300	"A new ""super"" antenna called Octa Air is a legitimate replacement for cable that can provide customers with 100s of free HDTV channels."	false
301	Munilla Construction Management, the construction firm that built the bridge at Florida International University that collapsed in March 2018, is an all-female company.	false
302	Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.	false
303	British police found Russian president Vladimir Putin's passport at the scene of a chemical attack on former Russian spy Sergei Skripal in Salisbury, England.	false
304	Before his death, physicist Stephen Hawking declared his Christian faith after a visit with Pope Francis.	false
305	An Ohio high school student was suspended for not participating in a walkout protest over gun violence.	false
306	A decision by the Justice Department under the Obama administration forced the FBI to purge the names of 500,000 fugitives from justice from the background check database for firearms purchases.	false
307	Christina Hagan's campaign ad contains footage depicting the U.S.-Mexico border.	false
308	A photograph shows world leaders Angela Merkel, Theresa May, and Dalia Grybauskaitė together at a party as teenagers.	false
309	Pamela Anderson passed away in March 2018.	false
310	A teacher trained in the use of firearms accidentally discharged a handgun in a California classroom, causing minor injury to a student.	true
311	"Matt Damon announced in March 2018 that he was moving his family to ""a safe place"" in Australia because he was fed up with President Donald Trump and his policies."	false
312	High school students in Stockton, California were arrested during a gun safety demonstration.	false
313	A high school principal in Minnesota singled out a pro-gun rights student during a pro-gun control protest and escorted him off campus.	false
314	In 1862, Abraham Lincoln ordered the execution by hanging of 38 Dakota Sioux fighters.	false
315	Maine legislature candidate Leslie Gibson insulted Parkland shooting survivor and activist Emma Gonzalez via Twitter.	true
316	"""Multiple trucks full of illegals"" were spotted at ""six polling locations across Pennsylvania"" during a special House election."	false
317	A federal judge threw out the election results in a Pennsylvania special congressional election due to voter fraud.	false
318	Bones found on the remote Pacific Island of Nikumaroro belong to famed aviator Amelia Earhart.	false
319	"A so-called ""Church of Lucifer"" has opened in Colombia."	false
320	A photograph shows Stephen Hawking at a Vietnam War protest in 1968.	false
321	"California Gov. Jerry Brown signed a new ""culture"" bill requiring that Arabic, not ""American,"" numbers be taught in schools."	false
322	A Tennessee school district banned the American flag on campus.	false
323	Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.	true
324	The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.	false
325	Disney announced in March 2018 that it was remaking 'Bedknobs and Broomsticks' with Kate Winslet.	false
326	A temporary memorial at the U.S. Capitol displays a pair of empty shoes to illustrate the 7,000 children killed by guns since the December 2012 Sandy Hook Elementary School shooting.	true
